date,count,Borough
2022-12-05,11,Staten Island
2022-12-05,1956,Unknown
2022-12-04,90,Bronx
2022-12-04,963,Brooklyn
2022-12-04,62,EWR
2022-12-04,96754,Manhattan
2022-12-04,11991,Queens
2022-12-04,13,Staten Island
2022-12-04,1746,Unknown
2022-12-03,77,Bronx
2022-12-03,947,Brooklyn
2022-12-03,31,EWR
2022-12-03,117761,Manhattan
2022-12-03,8775,Queens
2022-12-03,12,Staten Island
2022-12-03,1569,Unknown
2022-12-02,157,Bronx
2022-12-02,736,Brooklyn
2022-12-02,24,EWR
2022-12-02,115814,Manhattan
2022-12-02,11314,Queens
2022-12-02,12,Staten Island
2022-12-02,1894,Unknown
2022-12-01,202,Bronx
2022-12-01,710,Brooklyn
2022-12-01,25,EWR
2022-12-01,115262,Manhattan
2022-12-01,12263,Queens
2022-12-01,11,Staten Island
2022-12-01,2111,Unknown
2022-11-30,36,Manhattan
2022-11-30,4,Queens
2022-11-30,1,Unknown
