county_id,area,population
27119,"{""type"": ""Feature"", ""id"": ""27119"", ""properties"": {""name"": ""Polk""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-97.14632943729437, 48.17341242831427], [-96.50025651856518, 48.17427148800487], [-96.50025651856518, 48.021358863078625], [-96.48231004860048, 48.021358863078625], [-96.48231004860048, 47.963801863808634], [-96.48231004860048, 47.84782880557805], [-96.35309546485465, 47.84696974588745], [-96.35309546485465, 47.760204717137164], [-95.8362371298713, 47.76106377682776], [-95.8362371298713, 47.84782880557805], [-95.7106118401184, 47.848687865268644], [-95.7106118401184, 47.93545289401893], [-95.58139725637255, 47.93373477463774], [-95.57780796237962, 47.67343968838688], [-95.55268290442903, 47.67343968838688], [-95.55268290442903, 47.4999096308863], [-96.06595194541946, 47.4990505711957], [-96.85200732987329, 47.4990505711957], [-96.85559662386623, 47.6107283309733], [-96.87354309383093, 47.613305510045095], [-96.89148956379563, 47.67172156900568], [-96.91661462174622, 47.70264771786717], [-96.93815038570385, 47.76879531404313], [-96.96686473764737, 47.78339932878328], [-97.00634697156971, 47.87016435753357], [-97.01711485354853, 47.91998981958819], [-97.05659708747088, 47.94919784906848], [-97.07454355743558, 48.05314407163071], [-97.1032579093791, 48.07204338482384], [-97.14632943729437, 48.17341242831427]]]}}",31550.0
13143,"{""type"": ""Feature"", ""id"": ""13143"", ""properties"": {""name"": ""Haralson""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-85.38780231642316, 33.90185378842788], [-85.21192691076911, 33.899276609356086], [-85.21192691076911, 33.906149086880866], [-85.05040868108681, 33.90443096749967], [-85.03605150511505, 33.90443096749967], [-85.03964079910799, 33.8116525209152], [-85.05040868108681, 33.8125115806058], [-85.05040868108681, 33.714578775877754], [-85.10783738497385, 33.694820402994026], [-85.1401410309103, 33.699974761137604], [-85.29089137861378, 33.65186741846418], [-85.337552200522, 33.652726478154776], [-85.38780231642316, 33.90185378842788]]]}}",28667.0
48471,"{""type"": ""Feature"", ""id"": ""48471"", ""properties"": {""name"": ""Walker""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-95.61729019630197, 30.930366318653178], [-95.43423620266202, 31.058366212552123], [-95.43423620266202, 30.937238796177958], [-95.38039679276793, 30.887413334123337], [-95.39834326273262, 30.857346244952446], [-95.32655738287383, 30.859923424024238], [-95.35886102881028, 30.504272712117114], [-95.36245032280323, 30.5085680105701], [-95.59934372633725, 30.5094270702607], [-95.82905854188542, 30.630554486634864], [-95.86136218782187, 30.86421872247722], [-95.78598701397013, 30.879681796907967], [-95.71779042810428, 30.911467005460047], [-95.65318313623136, 30.893426751957513], [-95.61729019630197, 30.930366318653178]]]}}",69926.0
72133,"{""type"": ""Feature"", ""id"": ""72133"", ""properties"": {""name"": ""Santa Isabel""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-66.4506872096721, 17.983477721667214], [-66.42197285772858, 18.01955822867228], [-66.42556215172152, 18.0427528403184], [-66.35736556585566, 18.036739422484224], [-66.33224050790508, 18.016121989909898], [-66.33941909589096, 17.97660524414244], [-66.38607991779918, 17.93880661775617], [-66.4506872096721, 17.983477721667214]]]}}",22732.0
72101,"{""type"": ""Feature"", ""id"": ""72101"", ""properties"": {""name"": ""Morovis""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-66.46145509165092, 18.371772701817015], [-66.44350862168622, 18.370913642126418], [-66.396847799778, 18.371772701817015], [-66.37531203582036, 18.344282791717916], [-66.36454415384154, 18.333115015740155], [-66.3789013298133, 18.293598269972698], [-66.38966921179211, 18.27298083739837], [-66.45427650366504, 18.257517762967623], [-66.46145509165092, 18.371772701817015]]]}}",32087.0
13261,"{""type"": ""Feature"", ""id"": ""13261"", ""properties"": {""name"": ""Sumter""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-84.4294608203082, 32.13390894517945], [-84.4294608203082, 32.16655321342213], [-84.18179953479535, 32.158821676206756], [-84.18179953479535, 32.2301236305263], [-84.13513871288713, 32.22754645145451], [-84.13513871288713, 32.18545252661526], [-84.08488859698596, 32.19146594444944], [-84.02745989309892, 32.170848511875114], [-84.03463848108481, 32.15280825837258], [-83.99156695316952, 32.09525125910258], [-83.962852601226, 32.03082178230782], [-83.92337036730368, 31.947492992319916], [-83.92337036730368, 31.909694365933653], [-84.3397284704847, 31.916566843458426], [-84.3397284704847, 31.873613858928586], [-84.44381799627996, 31.967251365203644], [-84.4294608203082, 32.13390894517945]]]}}",31070.0
13199,"{""type"": ""Feature"", ""id"": ""13199"", ""properties"": {""name"": ""Meriwether""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-84.86376539345393, 33.191411424304235], [-84.85299751147511, 33.22319663285632], [-84.501246700167, 33.22147851347513], [-84.49765740617406, 33.183679887088864], [-84.5191931701317, 33.121827589365886], [-84.5371396400964, 33.009290769897696], [-84.52637175811758, 32.970633083820836], [-84.52637175811758, 32.91307608455084], [-84.50842528815288, 32.88214993568935], [-84.56944328603285, 32.84521036899368], [-84.70224716377163, 32.844351309303086], [-84.7524972796728, 32.8692640403304], [-84.86017609946099, 32.87270027909278], [-84.86376539345393, 32.96977402413024], [-84.86376539345393, 33.191411424304235]]]}}",21195.0
48219,"{""type"": ""Feature"", ""id"": ""48219"", ""properties"": {""name"": ""Hockley""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-102.61641348253482, 33.825397475964756], [-102.08519797157972, 33.82453841627416], [-102.0744300896009, 33.38985421283212], [-102.59487771857718, 33.38813609345093], [-102.61641348253482, 33.825397475964756]]]}}",23377.0
48451,"{""type"": ""Feature"", ""id"": ""48451"", ""properties"": {""name"": ""Tom Green""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-101.2668389411894, 31.55662083309833], [-100.86483801398013, 31.562634250932504], [-100.86124871998719, 31.705238159571593], [-100.82535578005779, 31.695788502975027], [-100.23671156521564, 31.693211323903235], [-100.23312227122271, 31.582392623816233], [-100.11108627546275, 31.580674504435038], [-100.11467556945568, 31.087574242032417], [-100.68896260832608, 31.08671518234182], [-100.69255190231902, 31.523976564855644], [-101.2668389411894, 31.528271863308625], [-101.2668389411894, 31.55662083309833]]]}}",116264.0
48497,"{""type"": ""Feature"", ""id"": ""48497"", ""properties"": {""name"": ""Wise""}, ""geometry"": {""type"": ""Polygon"", ""coordinates"": [[[-97.91802764577645, 33.433666257052565], [-97.48731236662366, 33.433666257052565], [-97.38322284082841, 33.430230018290175], [-97.39399072280722, 33.183679887088864], [-97.39758001680016, 32.991250516395155], [-97.5447410705107, 32.99382769546695], [-97.9216169397694, 33.00155923268232], [-97.91802764577645, 33.433666257052565]]]}}",62089.0
