id,title,season,number_in_season,us_viewers
585,Teenage Mutant Milk-Caused Hurdles,Season 27,11,8.33
586,Much Apu About Something,Season 27,12,3.95
587,Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,Season 27,13,2.89
588,Gal of Constant Sorrow,Season 27,14,3.1
589,Lisa the Veterinarian,Season 27,15,3.09
590,The Marge-ian Chronicles,Season 27,16,3.07
591,The Burns Cage,Season 27,17,2.32
592,How Lisa Got Her Marge Back,Season 27,18,2.55
593,Fland Canyon,Season 27,19,2.77
594,To Courier with Love,Season 27,20,2.52
595,Simprovised,Season 27,21,2.8
596,Orange Is the New Yellow,Season 27,22,2.54
597,Monty Burns' Fleeing Circus,Season 28,1,3.36
598,"Friends and Family""[203]",Season 28,2,
599,"The Town""[205]",Season 28,3,
600,"Treehouse of Horror XXVII""[207]",Season 28,4,
